SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
BrC1=CC=C(C=O)C=C1,183.95237688,-9.4597,-0.2831,4.8713999999999995,4.5883,0.2179456443562975,0.044614,-0.363137,6.0,0.034799,-2919.213404054158,2.186,36.47,0.01906435,-0.00382629,-0.0587984887,-0.00235264,-0.124121,-0.023561,23.003449984963744,1.9019980625658206
BrC1=CC=CC=C1,155.95746226,-9.0913,1.3436,3.87385,5.21745,0.1916645104409242,0.059231,-0.374216,6.0,0.022043,-2805.876410109822,1.89445,44.4,0.00623448,-0.00989882,-0.0186329391,-0.01498163,-0.110301,-0.038357,22.982287849592907,1.9104615389987947
CC(=O)C1=CC=C(Br)C=C1,197.968026944,-9.3309,-0.0395,4.6852,4.6457,0.2152528144305487,0.069443,-0.366341,6.0,0.031581,-2958.541122509898,2.44332,38.18,0.01591588,-0.00489084,-0.0263658383,-0.00546255,-0.115967,-0.026247,22.969757637860173,1.9036489067445912
COC1=CC=C(Br)C=C1,185.968026944,-8.3973,1.3485,3.5244,4.8729,0.20521660612776788,0.034415,-0.390299,6.0,0.006196,-2920.415308945733,2.87228,55.896,-0.00974548,-0.02338295,-0.1412493362,-0.03089921,-0.110892,-0.06518,22.910935255003732,1.9102681225389095
CC1=CC=C(Br)C=C1,169.973112324,-8.8124,1.3851,3.7136500000000003,5.09875,0.19612650159352782,0.033007,-0.379472,6.0,0.016388,-2845.19783018863,2.39256,48.255,0.00046068,-0.02377864,-0.0677135235,-0.02071648,-0.118386,-0.046377,22.934255371284095,1.9106201294593737
BrC1=CC(C=O)=CC=C1,183.95237688,-9.4732,-0.2942,4.8837,4.5895,0.21788865889530448,0.073216,-0.37384,6.0,0.022727,-2919.212722422557,1.95854,44.783,0.00674398,-0.01205051,0.0286238918,-0.01442634,-0.107101,-0.042528,22.954860608355702,1.9075263611271178
BrC1=CC=C(C=C1)C#N,180.952711228,-9.5467,-0.0625,4.8046,4.7421,0.21087703759937582,0.046743,-0.366153,6.0,0.033927,-2898.121597345847,3.09296,38.78,0.01834899,-0.00761562,-0.049050465,-0.00311173,-0.106252,-0.026774,22.96439749173006,1.9008076673692311
BrC1=CC=CC2=CC=CC=C12,205.973112324,-8.2911,0.308,3.99155,4.29955,0.2325824795618146,0.026402,-0.326469,6.0,0.021589,-2959.523886009439,1.85524,45.814,0.0064973,0.00798056,-0.1816291828,-0.0118441,-0.112893,-0.041682,26.576231023690454,1.9151867578235549
CC1=CC=CC=C1Br,169.973112324,-8.9657,1.4029,3.7814,5.1843,0.19289007194799682,-0.041855,-0.33889,6.0,0.016981,-2845.198634592667,1.67164,43.918,0.00178912,0.00134912,-0.125147966,-0.01711374,-0.12041,-0.049875,27.240053796375708,1.9160310649710492
ClC1=CC=C(Br)C=C1,189.918489908,-9.0699,0.99,4.03995,5.02995,0.1988091332915834,0.045061,-0.378175,6.0,0.020924,-3265.488804537946,0.0249,46.803,0.00538133,-0.0152127,-0.0474435325,-0.01590133,-0.110051,-0.04428,22.93188855351236,1.9060474913827516
FC1=CC=C(Br)C=C1,173.948040448,-9.083,1.0219,4.03055,5.05245,0.19792377955249432,0.043187,-0.383206,6.0,0.014726,-2905.134233753833,0.27717,51.18,-0.0007323,-0.02114442,-0.117267035,-0.02194869,-0.105687,-0.053778,22.94831705333972,1.9076169032026005
FC(F)(F)C1=CC=C(Br)C=C1,223.944846888,-9.5889,0.5598,4.514550000000001,5.07435,0.19706957541359976,0.037099,-0.367926,6.0,0.030766,-3142.991895993321,1.2116,39.872,0.01590489,-0.00833299,-0.0636455208,-0.00546681,-0.109684,-0.028408,22.95875889645033,1.903767813189977
COC1=CC=CC=C1Br,185.968026944,-8.5168,1.396,3.5604,4.9564,0.20175934145750946,-0.095522,-0.358695,6.0,0.002409,-2920.412984733853,2.85707,57.613,-0.01444245,-0.03547049,-0.2916995572,-0.03036664,-0.106878,-0.082721,24.95454317632514,1.9035309466130563
BrC1=CC2=CC=CC=C2C=C1,205.973112324,-8.369,0.3328,4.0181,4.3509,0.22983750488404697,0.090906,-0.374447,6.0,0.019493,-2959.524917533082,2.09258,47.438,0.00372369,-0.00970685,0.0156590513,-0.01732535,-0.114936,-0.04157,23.025795529220453,1.9098536256776493
BrC1=CC=C(C=C)C=C1,181.973112324,-8.5281,0.4636,4.03225,4.49585,0.22242734966691505,0.048156,-0.37597,6.0,0.021115,-2883.279121695109,1.79008,45.151,0.00521783,-0.01079392,-0.0451965453,-0.01606592,-0.120055,-0.041199,22.926667631957052,1.9069830165189803
COC1=CC(Br)=CC=C1,185.968026944,-8.6182,1.3606,3.6288,4.9894,0.20042490078967412,0.061705,-0.371741,6.0,0.023453,-2920.415879811634,1.64913,43.275,0.00801691,-0.003767,0.0435300629,-0.01301105,-0.109917,-0.022403,23.0880985264471,1.9121460271463058
BrC1=CC=C(C=C1)C1=CC=CC=C1,231.988762388,-8.5229,0.676,3.92345,4.59945,0.2174172998945526,0.061827,-0.376578,6.0,0.019639,-3036.945109940832,2.10828,45.898,0.00385333,0.0246545,-0.0171048221,-0.01738067,-0.110688,-0.042384,22.931331655213125,1.9085869329743368
CC1=CC(Br)=CC=C1,169.973112324,-8.959,1.3872,3.7859,5.1731,0.19330768784674568,0.103209,-0.37115,6.0,0.021589,-2845.198028299228,2.20577,44.449,0.00595582,0.02571458,0.040283555,-0.01510964,-0.113948,-0.034101,23.02127073053919,1.9123029427181815
CC(=O)C1=CC(Br)=CC=C1,197.968026944,-9.3364,-0.0457,4.69105,4.64535,0.21526903247333357,0.060986,-0.372827,6.0,0.021114,-2958.540770025676,1.31212,45.698,0.00527974,-0.0109451,-0.0341223899,-0.01594083,-0.111503,-0.041762,23.006512925609528,1.909613068954182
COC(=O)C1=CC=C(Br)C=C1,213.962941564,-9.3119,0.2102,4.55085,4.76105,0.21003770176746725,0.058386,-0.365838,6.0,0.031649,-3033.786864944505,1.99179,38.172,0.01606136,-0.00471099,-0.0573380108,-0.00527098,-0.122186,-0.025717,22.978180724636065,1.9046949748888402
CN(C)C1=CC=C(Br)C=C1,198.99966142,-7.5828,1.5735,3.00465,4.57815,0.2184288413442111,0.029037,-0.398123,6.0,-0.00169,-2939.858508800324,4.16844,60.41,-0.0182615,-0.01927858,-0.0840421901,-0.03937604,-0.122125,-0.077691,22.845778153993518,1.9112627552484966
BrC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,259.98367700800003,-9.2512,-0.2148,4.7330000000000005,4.5182,0.22132707715461908,0.056157,-0.366829,6.0,0.030127,-3150.285004782828,2.92052,39.205,0.01461751,-0.06316612,-0.0432687406,-0.00672136,-0.114208,-0.02776,22.976161968301348,1.9049433917169245
CC(C)(C)C1=CC=C(Br)C=C1,212.020062516,-8.8014,1.4046,3.6983999999999995,5.103,0.1959631589261219,0.062872,-0.379578,6.0,0.01628,-2963.150862886572,2.48567,48.179,0.00041113,-0.01381735,-0.0757493642,-0.02079753,-0.110748,-0.045145,22.90049341189312,1.9103585742869302
BrC1=C2C=CC=CC2=CC2=CC=CC=C12,255.988762388,-7.5904,-0.4254,4.0079,3.5825,0.2791346824842987,-0.026565,-0.277918,6.0,0.019258,-3113.163240509889,1.80029,48.474,0.00457665,0.01311102,-0.2988148755,-0.01057306,-0.111468,-0.050903,30.558749986077544,1.9204198974318005
CCOC(=O)C1=CC=C(Br)C=C1,227.978591628,-9.2855,0.2441,4.520700000000001,4.7648,0.20987239758226997,0.060806,-0.365971,6.0,0.031483,-3073.109241871644,2.13321,38.347,0.01577607,-0.00465005,-0.060232034,-0.0055443,-0.118788,-0.025913,22.97978180724636,1.9050261592789774
BrC1=CC=CC=C1C#N,180.952711228,-9.6008,-0.0261,4.81345,4.78735,0.20888382925835797,-0.112728,-0.331461,6.0,0.034472,-2898.118791024337,5.22555,38.874,0.0183499,-0.0080211,-0.1617020308,0.00036765,-0.09405,-0.029827,26.129320138556295,1.894578739903285
CC1=CC(C)=C(Br)C(C)=C1,198.004412452,-8.6123,1.5811,3.5155999999999996,5.096699999999999,0.196205387799949,-0.222686,-0.3088,6.0,0.00651,-2923.841877519351,1.81746,46.858,-0.00813379,-0.00898969,-0.2762825654,-0.02461707,-0.123184,-0.069566,31.719256429390864,1.9215276943739694
BrC1=CC=CC(=C1)C#N,180.952711228,-9.6699,-0.0653,4.8676,4.8023,0.20823355475501323,0.097048,-0.371529,6.0,0.027194,-2898.120807658521,4.02249,44.109,0.01122415,-0.01375727,-0.0447636239,-0.0100182,-0.104624,-0.038982,22.976161968301348,1.9036881092914508
FC(F)(F)C1=CC=CC(Br)=C1,223.944846888,-9.5331,0.5672,4.48295,5.0501499999999995,0.19801392037860263,0.091858,-0.370393,6.0,0.026342,-3142.991399691007,2.43143,44.229,0.01085396,-0.00058318,-0.0389332007,-0.01034436,-0.102935,-0.037659,22.98952752748293,1.9053855470164764
CSC1=CC=C(Br)C=C1,201.945183324,-8.1246,1.2509,3.4368499999999997,4.687749999999999,0.21332195616233804,0.04375,-0.383621,6.0,0.013835,-3243.395480721263,2.34018,50.619,-0.00193644,-0.01714093,0.0151593107,-0.02315369,-0.12096,-0.053758,22.90237294365303,1.9084175979990234
FC1=CC=CC=C1Br,173.948040448,-9.2028,1.0747,4.06405,5.13875,0.19459985405010946,-0.059074,-0.372458,6.0,0.00365,-2905.131478345667,2.60036,58.905,-0.01248893,-0.03972926,-0.2203342724,-0.02923929,-0.095536,-0.08971,24.29552365147077,1.8965016795813363
ClC1=CC=CC(Br)=C1,189.918489908,-9.2766,0.9921,4.14225,5.13435,0.19476662089651073,0.06146,-0.371807,6.0,0.02709,-3265.488693733231,1.73442,43.648,0.01137063,-0.00219968,-0.0632896601,-0.00971903,-0.104613,-0.032708,22.99614069478632,1.9068864382650166
FC1=CC(Br)=CC=C1,173.948040448,-9.2834,1.0318,4.1258,5.1576,0.19388863037071505,0.057531,-0.371476,6.0,0.027564,-2905.13436753951,1.66477,42.926,0.01216109,-0.00637834,0.0322673543,-0.00880365,-0.102634,-0.028738,22.982983972466947,1.9066123261690193
CC1=CC(Br)=CC(C)=C1,183.988762388,-8.8652,1.4398,3.7127,5.1525,0.19408054342552158,0.15534,-0.368216,6.0,0.021094,-2884.519641157063,2.40421,44.508,0.00560791,-0.00664179,0.0955191828,-0.0153184,-0.117798,-0.030059,23.048558747201586,1.9137318664559826
BrC1=CC=CC=C1C1=CC=CC=C1,231.988762388,-8.7603,0.9674,3.8964500000000006,4.86385,0.20559844567575067,-0.070171,-0.32812,6.0,0.020364,-3036.942062762401,1.60907,45.765,0.00511764,0.06042547,-0.0376757605,-0.01291332,-0.117639,-0.046574,29.63986779234376,1.9144865789799488
BrC1=CC=C(C=C1)C1=CC=C(Br)C=C1,309.899274456,-8.57,0.4187,4.07565,4.49435,0.22250158532379544,0.060173,-0.3759,6.0,0.020993,-5610.561980681759,7e-05,45.131,0.00526205,0.02744473,-0.0419834561,-0.01601252,-0.117744,-0.041186,22.92771181626811,1.9073689796805333
CC1=CC=CC(C)=C1Br,183.988762388,-8.8753,1.4784,3.69845,5.17685,0.1931676598703845,-0.175184,-0.303399,6.0,0.011864,-2884.520363645715,1.35314,43.196,-0.00263833,0.00553206,-0.2282888769,-0.01914385,-0.124889,-0.061782,31.81406836483521,1.9215481513312462
FC1=C(F)C(F)=C(Br)C(F)=C1F,245.9103532,-9.7516,0.6371,4.55725,5.19435,0.1925168692906716,-0.200442,-0.36951,6.0,-0.01343,-3302.126113283982,0.4601,73.698,-0.02880812,-0.07791427,-0.3913276048,-0.04049995,-0.048261,-0.136375,25.590660258623572,1.8798042057997233
BrC1=CC=C(C=C1)N=C=S,212.924782228,-8.6322,0.1926,4.219799999999999,4.4124,0.22663403136614996,0.03009,-0.377499,6.0,0.021273,-3296.330851703486,0.85089,47.143,0.00587595,-0.01515065,-0.1005783517,-0.0153962,-0.111206,-0.044559,22.938153659378724,1.9042555875340588
ClC1=CC=CC=C1Br,189.918489908,-9.1983,1.0575,4.070399999999999,5.1279,0.19501160319038982,-0.00505,-0.389942,6.0,0.015302,-3265.485391963375,2.59929,44.989,-0.00207564,-0.02267359,-0.0364873992,-0.02030252,-0.085085,-0.059637,26.240769410690216,1.897858731924757
BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2,255.988762388,-8.1817,0.268,3.9568499999999998,4.22485,0.2366947938980082,0.049566,-0.324957,6.0,0.019723,-3113.175922563666,1.96744,46.822,0.00471697,0.01057122,-0.1326704064,-0.01354798,-0.105329,-0.042333,26.74671151554303,1.916801312973996
BrC1=C(C=C)C=CC=C1,181.973112324,-8.766,0.6087,4.07865,4.68735,0.2133401602184603,-0.030872,-0.3267,6.0,0.021946,-2883.277490010665,1.75796,44.909,0.00648928,-0.02939776,-0.1297957164,-0.01191833,-0.118884,-0.043561,26.801009099718208,1.916139405901568
BrC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,323.030961548,-7.3932,1.006,3.1936,4.1996,0.23811791599199922,0.049509,-0.385604,6.0,0.009952,-3323.360761917977,2.35886,53.429,-0.00594942,-0.16208207,-0.09989637,-0.02711106,-0.110843,-0.058368,22.899449227582057,1.9086623637261875
FC(F)(F)C1=CC(=CC(Br)=C1)C(F)(F)F,291.93223151600006,-9.9416,0.0228,4.9594,4.9822,0.200714543775842,0.124929,-0.366642,6.0,0.030694,-3480.104447676153,1.19504,43.341,0.01565672,0.01855713,-0.0327676265,-0.00551389,-0.087169,-0.036271,22.96913112727354,1.9004193360641615
BrC1=CC=C(C=C1)N=C=O,196.947625848,-8.8504,0.7299,4.06025,4.790150000000001,0.2087617297996931,0.026753,-0.380309,6.0,0.018193,-2973.378562868203,0.6015,48.897,0.00275248,-0.0169648,-0.0941420339,-0.01848278,-0.111129,-0.048431,22.932306227236783,1.9056100244718426
BrC1=CC=C(CC#N)C=C1,194.968361292,-9.3401,0.8646,4.23775,5.1023499999999995,0.19598812311973896,0.04234,-0.373387,6.0,0.024335,-2937.438757415966,3.55919,44.174,0.00859291,-0.01194784,-0.0867083782,-0.01271749,-0.112605,-0.038077,22.947551318178274,1.906125991844131
COC1=CC=C(Br)C=C1OC,215.978591628,-8.0219,1.7038,3.15905,4.86285,0.20564072508919667,0.040369,-0.388476,6.0,0.007438,-3034.949265232653,1.97892,55.361,-0.00808909,-0.01702671,-0.0642940631,-0.02906753,-0.102291,-0.048088,22.996627980798145,1.912170904881226
BrC1=CC(C=C)=CC=C1,181.973112324,-8.7549,0.4554,4.149749999999999,4.60515,0.21714819278416556,0.089601,-0.37075,6.0,0.022885,-2883.279063441019,1.88363,44.285,0.00732956,-0.00699774,-0.0212040295,-0.01379605,-0.114772,-0.034077,23.05461501620574,1.911851813370697
COC1=CC(OC)=CC(Br)=C1,215.978591628,-8.4782,1.5838,3.4471999999999996,5.031,0.19876764062810576,0.121011,-0.369762,6.0,0.025813,-3034.955763437309,2.80374,42.161,0.01081196,0.00258409,0.1598250079,-0.00982972,-0.098697,-0.011319,23.12262622099952,1.9121051018261914
COC1=CC=C2C=C(Br)C=CC2=C1,235.983677008,-8.0456,0.4833,3.7811500000000002,4.26445,0.2344968284303955,0.089577,-0.379732,6.0,0.013689,-3074.065547181122,3.05146,51.167,-0.00196201,-0.01388345,0.0083677282,-0.022977,-0.114199,-0.050628,23.002545025227494,1.9108634669221045
COC(=O)C1=CC(Br)=CC=C1,213.962941564,-9.2914,0.2053,4.54305,4.748349999999999,0.21059947139532684,0.104337,-0.37179,6.0,0.022441,-3033.786329431194,0.30196,45.554,0.0065284,-0.00314133,0.0024736307,-0.01451831,-0.104532,-0.04229,22.993565040152365,1.9095723299175877
CCC1=CC=C(Br)C=C1,183.988762388,-8.8135,1.4042,3.70465,5.1088499999999994,0.19573876704150642,0.038663,-0.378604,6.0,0.016729,-2884.515620315759,2.41999,48.049,0.00090934,-0.01883501,-0.0060917484,-0.02026195,-0.120673,-0.045558,22.939545905126806,1.9107846189731783
BrC1=CC=C(C=C1)N=N#N,196.958859228,-8.5915,0.5657,4.0129,4.5786,0.2184073734329271,0.027508,-0.382677,6.0,0.015848,-2969.477290747156,0.17379,50.052,0.00012021,-0.01831603,-0.11602398,-0.02111597,-0.113358,-0.052991,22.92214283327579,1.9053699290270418
FC1=CC(Br)=CC(F)=C1,191.938618636,-9.546,0.8922,4.326899999999999,5.2191,0.1916039163840509,0.054594,-0.369441,6.0,0.032641,-3004.391358377963,0.07899,41.789,0.01757275,-0.0032662,0.0855676915,-0.00315545,-0.094494,-0.019934,22.981522114431463,1.9024083827462455
FC1=C(C=O)C=CC(Br)=C1,201.942955068,-9.6268,-0.4638,5.045299999999999,4.5815,0.21826912583215102,0.073161,-0.361884,6.0,0.039368,-3018.468683816117,1.98853,34.766,0.02392336,-0.00010593,0.0149252028,0.00276422,-0.102071,-0.014947,22.97511778399029,1.8987615708894061
COC1=CC(Br)=CC(OC)=C1OC,245.989156312,-8.2993,1.6103,3.3445,4.9548000000000005,0.2018244934205215,0.05974,-0.376807,6.0,0.017396,-3149.482372433737,1.26762,49.572,0.00238662,-0.1822978,0.0600513587,-0.01840936,-0.098096,-0.018754,23.14483254068142,1.913346382096302
FC(F)(F)C1=CC=CC=C1Br,223.944846888,-9.477,0.6057,4.43565,5.04135,0.19835956638598787,-0.043467,-0.334011,6.0,0.026789,-3142.986040658505,3.58698,44.253,0.01098365,-0.012653,-0.0845431967,-0.00632206,-0.099394,-0.033186,29.707182874263506,1.9050599739731837
CCC(=O)C1=CC=C(Br)C=C1,211.983677008,-9.3028,0.0038,4.6495,4.6533,0.21490125287430425,0.073066,-0.366639,6.0,0.031052,-2997.859431207909,2.36754,38.441,0.01543714,-0.00513296,-0.0146316218,-0.00592907,-0.126154,-0.026666,22.970941046746045,1.904071851391959
BrC1=CC=C(OC2=CC=CC=C2)C=C1,247.983677008,-8.4371,1.0909,3.6731,4.763999999999999,0.20990764063811926,0.02861,-0.385459,6.0,0.010809,-3112.165469127676,2.08154,53.215,-0.00494695,-0.01585336,-0.1172655669,-0.02612348,-0.115943,-0.057952,22.926458795094838,1.9090537723632042
CS(=O)(=O)C1=CC=C(Br)C=C1,233.935012564,-9.7,0.2594,4.7203,4.979699999999999,0.20081531015924656,0.04567,-0.364723,6.0,0.033425,-3393.8499980819,4.08264,38.036,0.0180708,-0.27501083,-0.0840265373,-0.0032876,-0.108568,-0.02686,22.99119822238063,1.9031058499794677
BrC1=CC=C(C=C1)N1C2=CC=CC=C2C2=C1C=CC=C2,321.015311484,-7.7982,0.7346,3.5317999999999996,4.2664,0.23438964935308457,0.029358,-0.377202,6.0,0.01963,-3322.179618332503,0.4514,47.23,0.00402451,-0.15764568,-0.0683252282,-0.01720109,-0.109087,-0.04449,22.936831025918046,1.9065637750460342
CC1=CC=C(C)C(Br)=C1,183.988762388,-8.7886,1.4468,3.6709000000000005,5.1177,0.195400277468394,0.009009,-0.33565,6.0,0.016897,-2884.520083430785,1.866,43.853,0.00190922,0.03857369,-0.0656357443,-0.01685012,-0.110841,-0.045213,27.23469365024559,1.917896660486935
BrC1=CC=CC(=C1)C1=CC=CC=C1,231.988762388,-8.7024,0.6738,4.0143,4.6881,0.21330603016147265,0.093587,-0.370828,6.0,0.022086,-3036.945253023442,2.04055,44.169,0.00652502,-0.0704468,-0.0402521039,-0.01455367,-0.115823,-0.034876,23.023637548310926,1.911590814909523
BrC1=CC=C(C=C1)C(=O)C1=CC=C(Br)C=C1,337.894189076,-9.3416,-0.4241,4.8828499999999995,4.45875,0.224278104850014,0.052397,-0.366748,6.0,0.030979,-5723.901600095338,1.57772,38.659,0.01552399,-0.06650253,-0.0479053715,-0.00585509,-0.112626,-0.027253,22.9685046166869,1.9037116338088294
CC1=C(Br)C2=C(C=CC=C2)C=C1,219.988762388,-8.174,0.382,3.896,4.278,0.2337540906965872,-0.096776,-0.293179,6.0,0.014308,-2998.845410950224,1.59981,46.114,-0.00025554,0.00714815,-0.2699284223,-0.0161137,-0.122384,-0.057292,31.124628270385262,1.9202443330815666
CS(=O)C1=CC=C(Br)C=C1,217.940097944,-8.937,0.6976,4.1197,4.8172999999999995,0.20758516181263365,0.049333,-0.370779,6.0,0.025743,-3318.599862389111,3.41886,42.425,0.01047889,-0.16713299,-0.0061905806,-0.01078116,-0.113002,-0.036366,22.985698851675707,1.9062734002060735
COC1=C(Br)C=C(C=O)C=C1,213.962941564,-8.8791,0.0712,4.40395,4.475149999999999,0.2234561969989833,-0.069633,-0.359222,6.0,0.001639,-3033.751862905944,3.55959,58.868,-0.01551524,-0.03843342,-0.2471654844,-0.03134462,-0.134213,-0.088838,24.910687435260574,1.901138947819548
BrC1=CC=C(C=C1)C(=O)C(=O)C1=CC=C(Br)C=C1,365.889103696,-9.4419,-0.7606,5.10125,4.34065,0.23038024259039544,0.083394,-0.361788,6.0,0.036854,-5837.234867939773,2.20011,35.169,0.02139221,0.00106291,-0.0642991758,-5.836e-05,-0.113535,-0.020471,22.985559627100898,1.901025957217098
COC1=CC(OC)=C(Br)C=C1,215.978591628,-8.144,1.6039,3.27005,4.87395,0.20517239610582794,-0.102326,-0.373581,6.0,-0.012035,-3034.952763583425,3.16671,67.757,-0.02887168,-0.04720296,-0.3702566306,-0.04476819,-0.10197,-0.106706,24.858199770557903,1.9031913237320917
BrC1=CC=C(OCC2=CC=CC=C2)C=C1,261.999327072,-8.3833,1.234,3.57465,4.80865,0.20795857465192932,0.060228,-0.389636,6.0,0.006681,-3151.481470336689,2.86299,56.101,-0.00921199,0.02850632,-0.1034350874,-0.03036374,-0.116374,-0.063939,22.904739761424768,1.9101146667832303
COC1=CC=C2C=CC=CC2=C1Br,235.983677008,-7.8902,0.4226,3.7338,4.1564,0.24059282071023003,-0.145884,-0.31824,6.0,-0.005401,-3074.05927049128,2.93164,63.462,-0.02178846,-0.02515453,-0.4397371324,-0.03457144,-0.095664,-0.099268,28.665643830123745,1.9070313246492463
COC1=CC(Br)=C(OC)C=C1,215.978591628,-7.9507,1.3536,3.29855,4.65215,0.2149543759337081,-0.073104,-0.356009,6.0,0.004144,-3034.949401752189,1.77254,57.437,-0.01235925,-0.0286889,-0.2552784754,-0.0281495,-0.093129,-0.068362,25.041071249568404,1.9043739358202745
BrC1=CC=CC=C1C1=C(Br)C=CC=C1,309.899274456,-9.0219,1.0632,3.97935,5.04255,0.19831236180107287,-0.005177,-0.33535,6.0,0.02087,-5610.558778797512,2.12941,43.827,0.00465872,-0.00746229,-0.2024420676,-0.01344271,-0.110417,-0.040031,31.12901384449172,1.9092968482061559
COC1=CC=C(Br)C=C1C=O,213.962941564,-8.7741,-0.1587,4.4664,4.3077000000000005,0.23214244260278105,0.070857,-0.387314,6.0,0.009313,-3033.750610112896,5.62363,55.311,-0.00674092,-0.01640813,-0.1703734289,-0.02770474,-0.104198,-0.066848,22.860605571210584,1.9079985188448574
FC1=CC=C(Br)C=C1C=O,201.942955068,-9.442,-0.4876,4.9648,4.4772,0.22335388189046726,0.068792,-0.379523,6.0,0.018219,-3018.467810090403,3.21205,50.262,0.00261694,-0.0137691,-0.1416518523,-0.01839523,-0.085984,-0.054571,22.913858971074703,1.905297489746091
FC1=C(C=CC(Br)=C1)C#N,198.943289416,-9.708,-0.2529,4.98045,4.72755,0.21152605472179037,0.090262,-0.363857,6.0,0.038886,-2997.375937585544,3.98906,36.781,0.02371998,-0.00352043,0.0193244762,0.00252819,-0.089329,-0.017431,22.9565313032534,1.8978304694546897
FC1=CC=C(Br)C(F)=C1,191.938618636,-9.2229,0.9288,4.147049999999999,5.07585,0.19701133800250203,-0.073843,-0.38111,6.0,-0.003767,-3004.388606928703,1.39761,65.102,-0.01950056,-0.05073419,-0.3134052708,-0.03624442,-0.089457,-0.104528,24.2431055990555,1.894383306975902
CC1=CC=C(Br)C(C)=C1,183.988762388,-8.7032,1.4773,3.6129500000000005,5.09025,0.19645400520603112,-0.081406,-0.344159,6.0,0.011549,-2884.520073622326,2.13737,47.626,-0.00376898,-0.01397224,-0.1750191334,-0.0226448,-0.124662,-0.057673,27.164524464542282,1.916107636444564
CCOC(=O)C1=CC=CC(Br)=C1,227.978591628,-9.2632,0.2414,4.5108999999999995,4.7523,0.2104244260673779,0.105531,-0.372006,6.0,0.022155,-3073.10876723273,0.5348,45.631,0.00627889,-0.00285936,0.0018216679,-0.01476357,-0.11084,-0.042502,22.994887673613047,1.9095989058654952
FC(F)(F)C(=O)C1=CC=C(Br)C=C1,251.939761508,-9.69,-0.8009,5.24545,4.44455,0.22499465637691107,0.063579,-0.361656,6.0,0.038906,-3256.322485861715,2.36377,34.081,0.02369417,-0.00189882,-0.0528121404,0.00215588,-0.118041,-0.018134,22.964536716304867,1.8984816897034662
BrC1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=CC=C1)C1=CC=CC=C1,387.037109548,-9.0003,-0.3733,4.6868,4.3134999999999994,0.23183030022023882,0.090937,-0.367239,6.0,0.029525,-3547.230343136897,2.11173,38.637,0.01389888,-0.00461684,0.0107604954,-0.00740239,-0.116882,-0.028204,22.96572012519074,1.905464328978716
BrC1=CC=C(C=C1)N1C(=O)C=CC1=O,250.958190532,-8.923,-1.034,4.9785,3.9445,0.25351755609075927,0.038762,-0.375048,6.0,0.022371,-3164.149285724872,3.35166,46.477,0.0068827,-0.36440144,-0.1440922872,-0.0143232,-0.108435,-0.040375,22.939197843689783,1.9065888457253315
C[Si](C)(C)C1=CC=C(Br)C=C1,227.99698904599998,-8.9487,1.1502,3.8992500000000003,5.04945,0.19804137084236897,0.097351,-0.372446,6.0,0.023181,-3214.57836492547,2.20084,43.407,0.00717081,-0.0077137,-0.0392542746,-0.01397568,-0.109538,-0.035886,22.957784324426672,1.9104325394156028
FC(F)(F)OC1=CC=C(Br)C=C1,239.939761508,-9.1426,0.926,4.1083,5.0343,0.19863734779413225,0.020862,-0.382395,6.0,0.016711,-3218.223345844295,0.53956,50.179,0.00165537,-0.01989921,-0.1395402823,-0.01963067,-0.107419,-0.050938,22.909125335531225,1.9056083734475708
CC(C)C1=CC(C(C)C)=C(Br)C(=C1)C(C)C,282.09831283600005,-8.6035,1.6325,3.4855,5.118,0.19538882375928096,-0.20489,-0.284094,6.0,0.010861,-3159.746677383016,1.65052,48.352,-0.00266476,-0.13074215,-0.1822785284,-0.01898042,-0.133504,-0.06677,36.55195025784391,1.9347344509251123
CN(C)C1=CC=CC(Br)=C1,198.99966142,-7.7384,1.5935,3.0724500000000003,4.6659500000000005,0.21431862750350944,0.100879,-0.371256,6.0,0.022217,-2939.859255036698,3.61552,42.627,0.00711083,0.10046477,0.0810439168,-0.01373636,-0.112015,-0.01756,23.13968123141352,1.9156534232649323
FC1=CC=C(C=O)C=C1Br,201.942955068,-9.5663,-0.2743,4.9203,4.646,0.2152389151958674,-0.051088,-0.372234,6.0,0.003879,-3018.468244018956,0.95947,59.435,-0.01245534,-0.04160049,-0.1677151061,-0.02912526,-0.082795,-0.093955,24.2465166011383,1.893998909957542
BrC1=CC(=CC=C1)C1=NC(=NC(=N1)C1=CC=CC=C1)C1=CC=CC=C1,387.037109548,-9.0935,-0.3755,4.734500000000001,4.359,0.22941041523285158,0.112161,-0.371399,6.0,0.022132,-3547.23008974645,2.08316,44.912,0.0061974,8.332e-05,-0.0376983821,-0.01470979,-0.120266,-0.040948,22.99085016094361,1.9107540246250465
